"","Timestamp","Age","Gender","self_employed","treatment","work_interfere","tech_company","seek_help","anonymity","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments","PersonID","CompanyID","CountryID"
"1","8/27/14 11:29",37,"Female",NA,"Yes","Often","Yes","Yes","Yes","No","No","Some of them","Yes","No","Maybe","Yes","No",NA,1306,1007,46
"2","8/27/14 11:29",44,"M",NA,"No","Rarely","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No",NA,1438,704,46
"3","8/27/14 11:29",32,"Male",NA,"No","Rarely","Yes","No","Don't know","No","No","Yes","Yes","Yes","Yes","No","No",NA,4016,115,8
"4","8/27/14 11:29",31,"Male",NA,"Yes","Often","Yes","No","No","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes",NA,2217,24,45
"5","8/27/14 11:30",31,"Male",NA,"No","Never","Yes","Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Don't know","No",NA,3893,1054,46
"6","8/27/14 11:31",33,"Male",NA,"No","Sometimes","Yes","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No",NA,1928,545,46
"7","8/27/14 11:31",35,"Female",NA,"Yes","Sometimes","Yes","No","No","Maybe","Maybe","Some of them","No","No","No","Don't know","No",NA,2571,777,46
"8","8/27/14 11:32",39,"M",NA,"No","Never","Yes","No","Yes","No","No","No","No","No","No","No","No",NA,3028,27,8
"9","8/27/14 11:32",42,"Female",NA,"Yes","Sometimes","Yes","No","No","Maybe","No","Yes","Yes","No","Maybe","No","No",NA,4753,229,46
"10","8/27/14 11:32",23,"Male",NA,"No","Never","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA,1231,534,8
"11","8/27/14 11:32",31,"Male",NA,"Yes","Sometimes","Yes","No","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA,2216,294,46
"12","8/27/14 11:32",29,"male",NA,"No","Never","Yes","No","Don't know","No","No","Yes","Yes","Yes","Yes","Don't know","No",NA,1961,106,7
"13","8/27/14 11:33",42,"female",NA,"Yes","Sometimes","No","No","Don't know","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes",NA,2536,804,46
"14","8/27/14 11:33",36,"Male",NA,"No","Never","Yes","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No","I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.",4042,1037,46
"15","8/27/14 11:33",27,"Male",NA,"No","Never","Yes","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Yes","Yes","No",NA,4447,47,8
"16","8/27/14 11:34",29,"female",NA,"Yes","Rarely","Yes","No","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No","I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ",3706,984,46
"17","8/27/14 11:34",23,"Male",NA,"Yes","Sometimes","Yes","Don't know","Don't know","Maybe","No","Some of them","No","Maybe","Maybe","No","No","My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.",3696,579,45
"18","8/27/14 11:34",32,"Male",NA,"Yes","Sometimes","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No",NA,1657,1,46
"19","8/27/14 11:34",46,"male","Yes","No","Sometimes","Yes","Don't know","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes",NA,4197,874,46
"20","8/27/14 11:35",36,"Male","Yes","No",NA,"Yes","No","Yes","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",NA,3835,131,16
"21","8/27/14 11:35",29,"Male","No","Yes","Sometimes","Yes","No","No","Maybe","No","Some of them","Some of them","No","No","No","No",NA,4697,268,46
"22","8/27/14 11:35",31,"male","Yes","No","Never","Yes","No","Yes","No","No","Some of them","Some of them","No","Maybe","Yes","No",NA,1029,326,46
"23","8/27/14 11:35",46,"Male","No","Yes","Often","Yes","No","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No",NA,3372,651,46
"24","8/27/14 11:36",41,"Male","No","Yes","Never","No","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No",NA,2458,1047,46
"25","8/27/14 11:36",33,"male","No","Yes","Rarely","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Don't know","No","Relatively new job. Ask again later",3950,662,46
"26","8/27/14 11:37",35,"male","No","Yes","Sometimes","No","Don't know","No","Yes","No","Some of them","Yes","No","Yes","No","No","Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better",4030,1073,46
"27","8/27/14 11:37",33,"male","No","No",NA,"Yes","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No",NA,2036,923,46
"28","8/27/14 11:37",35,"Female","No","Yes","Rarely","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA,2013,1245,46
"29","8/27/14 11:38",34,"male","No","Yes","Sometimes","Yes","Don't know","Don't know","No","No","Some of them","No","No","No","No","No",NA,3697,1195,46
"30","8/27/14 11:38",37,"Male","No","No","Sometimes","Yes","No","Don't know","Yes","Maybe","Some of them","No","No","Maybe","No","No",NA,2928,725,45
"31","8/27/14 11:39",32,"Male","No","No","Never","Yes","No","Don't know","Yes","Yes","Some of them","Some of them","No","Maybe","No","No",NA,2503,635,45
"32","8/27/14 11:38",31,"Male","Yes","No","Rarely","Yes","No","Don't know","Yes","No","No","No","No","No","No","Yes",NA,1220,539,46
"33","8/27/14 11:39",30,"male","No","Yes","Sometimes","Yes","No","Yes","Maybe","No","Some of them","Yes","No","Yes","Don't know","No",NA,4568,311,45
